INFO 2025-03-16 20:12:34,226 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1722849419.3560288
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\asyncio\exceptions.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\rest_framework_simplejwt\token_blacklist\apps.py first seen with mtime 1738406943.5548654
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\requests\compat.py first seen with mtime 1726223264.8049705
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\wsgiref\util.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\corsheaders\checks.py first seen with mtime 1730734257.2128737
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\pythonProjectComixSite\drf\comix\models.py first seen with mtime 1742144582.5006604
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\_markupbase.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1726143447.5680258
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1726143450.3471007
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\asyncio\constants.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\rest_framework\routers.py first seen with mtime 1726139654.2509208
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1726143450.3040755
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1726143448.5488057
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\markdown\extensions\__init__.py first seen with mtime 1731858758.2167828
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1726143449.4204943
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\click\_compat.py first seen with mtime 1726566125.4949205
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\jinja2\compiler.py first seen with mtime 1726223264.8883061
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\referencing\__init__.py first seen with mtime 1726224944.3221712
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1726143447.2434406
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1722849419.3560288
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\requests\exceptions.py first seen with mtime 1726223264.8049705
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\yaml\_yaml.cp310-win_amd64.pyd first seen with mtime 1726224763.8956225
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\corsheaders\__init__.py first seen with mtime 1730734257.210719
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\http\request.py first seen with mtime 1726143450.5043385
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1726143450.3015606
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\email\utils.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\textwrap.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1726143448.3671916
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1726223264.2378452
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\markdown\postprocessors.py first seen with mtime 1731858758.2115252
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\drf_yasg\generators.py first seen with mtime 1726224764.0848439
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1726143450.3436944
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\importlib\metadata\_text.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1726143448.075735
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\unittest\case.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1726143448.3721025
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1726143450.3021634
DEBUG 2025-03-16 20:12:34,593 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1726143450.529794
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1726143447.255755
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\email\mime\message.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\requests\hooks.py first seen with mtime 1726223264.8049705
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1726139654.2416644
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1726143448.359089
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\json\encoder.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\asyncio\protocols.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,604 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\urllib3\util\proxy.py first seen with mtime 1726223264.2513201
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\pkg_resources\_vendor\packaging\_parser.py first seen with mtime 1722792536.4806664
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1726143450.272255
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1726143450.272255
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1726143449.4239163
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\lzma.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1726143450.3403966
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\attr\_compat.py first seen with mtime 1726224944.2305968
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\jinja2\environment.py first seen with mtime 1726223264.896488
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\requests\models.py first seen with mtime 1726223264.8133311
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1726143450.4378405
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\attr\_funcs.py first seen with mtime 1726224944.2305968
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1726143450.3471007
DEBUG 2025-03-16 20:12:34,606 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\DLLs\_socket.pyd first seen with mtime 1680644872.0
DEBUG 2025-03-16 20:12:34,609 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\utils\html.py first seen with mtime 1726143450.5627787
DEBUG 2025-03-16 20:12:34,609 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\getpass.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,609 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\charset_normalizer\utils.py first seen with mtime 1726223264.708198
DEBUG 2025-03-16 20:12:34,609 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1726143450.2487912
DEBUG 2025-03-16 20:12:34,609 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\rest_framework\settings.py first seen with mtime 1726139654.2567368
DEBUG 2025-03-16 20:12:34,609 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\corsheaders\apps.py first seen with mtime 1730734257.21187
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\email\base64mime.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\jsonschema_specifications\__init__.py first seen with mtime 1726224944.3855114
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\swagger_spec_validator\__init__.py first seen with mtime 1726224944.6241455
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\coreapi\codecs\base.py first seen with mtime 1726223265.0932162
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\io.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1726143450.5545194
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1722849419.3560288
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1726143450.4067476
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\collections\abc.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\drf_yasg\inspectors\query.py first seen with mtime 1726224764.0952754
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\urllib3\util\response.py first seen with mtime 1726223264.2513201
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\rest_framework_simplejwt\__init__.py first seen with mtime 1738406943.488942
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\opcode.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\coreschema\compat.py first seen with mtime 1726223265.0373223
DEBUG 2025-03-16 20:12:34,611 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1726223264.2513201
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\asyncio\transports.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1722849419.4514167
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1726143450.5720873
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\PycharmProjects\pythonProjectComixSite\drf\comix\__init__.py first seen with mtime 1734519257.2552085
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\coreapi\__init__.py first seen with mtime 1726223265.0868773
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\pygments\util.py first seen with mtime 1726566122.844734
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\importlib\_abc.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\wsgiref\handlers.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,613 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\http\cookiejar.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,615 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1726143450.5206602
DEBUG 2025-03-16 20:12:34,619 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\attr\_config.py first seen with mtime 1726224944.2305968
DEBUG 2025-03-16 20:12:34,619 autoreload File C:\Users\galus\AppData\Local\Programs\Python\Python310\Lib\inspect.py first seen with mtime 1680644842.0
DEBUG 2025-03-16 20:12:34,621 autoreload File C:\Users\galus\PycharmProjects\.venv\Lib\site-packages\attr\_make.py first seen with mtime 1726224944.2395537
